t,I,V,gt
17840.000000,-79.997500,65.691900,0.120480
17870.000000,-80.003700,65.669600,0.119343
17900.000000,-80.003700,65.639800,0.118207
17930.000000,-80.009900,65.625000,0.117070
17960.000000,-79.997500,65.610100,0.115933
17990.000000,-80.003700,65.587700,0.114797
18020.000000,-79.997500,65.580300,0.113660
18050.000000,-80.003700,65.565400,0.112524
18080.000000,-80.009900,65.543100,0.111387
18110.000000,-80.003700,65.535700,0.110250
18140.000000,-80.003700,65.520800,0.109114
18170.000000,-80.003700,65.498500,0.107977
18200.000000,-80.003700,65.483600,0.106841
18230.000000,-80.003700,65.468700,0.105704
18260.000000,-80.003700,65.453800,0.104567
18290.000000,-80.009900,65.431500,0.103431
18320.000000,-80.003700,65.416600,0.102294
18350.000000,-79.997500,65.409200,0.101158
18380.000000,-80.009900,65.386900,0.100021
18410.000000,-80.003700,65.372000,0.098884
18440.000000,-80.003700,65.357100,0.097748
18470.000000,-80.009900,65.334800,0.096611
18500.000000,-79.997500,65.319900,0.095475
18530.000000,-80.003700,65.305000,0.094338
18560.000000,-79.997500,65.282700,0.093201
18590.000000,-80.009900,65.275200,0.092065
18620.000000,-79.997500,65.260400,0.090928
18650.000000,-80.003700,65.238000,0.089792
18680.000000,-80.003700,65.223200,0.088655
18710.000000,-80.009900,65.208300,0.087518
18740.000000,-80.009900,65.186000,0.086382
18770.000000,-79.997500,65.178500,0.085245
18800.000000,-80.003700,65.156200,0.084109
18830.000000,-80.003700,65.141300,0.082972
18860.000000,-80.003700,65.119000,0.081835
18890.000000,-80.009900,65.104100,0.080699
18920.000000,-79.997500,65.089200,0.079562
18950.000000,-79.997500,65.074400,0.078426
18980.000000,-80.009900,65.052000,0.077289
19010.000000,-79.997500,65.037200,0.076152
19040.000000,-79.997500,65.014800,0.075016
19070.000000,-79.997500,65.000000,0.073879
19100.000000,-80.003700,64.977600,0.072743
19130.000000,-80.003700,64.962700,0.071606
19160.000000,-79.997500,64.947900,0.070470
